x,y,label,cell_type,cell_size_pixel
14.625,15.600000000000001,2,CD8-T,350
22.815,14.43,3,Other immune,339
29.835,12.48,4,DC / Mono,73
67.665,12.285,5,Endothelial,65
75.27000000000001,12.870000000000001,6,CD8-T,99
111.93,12.48,7,Other immune,148
122.07,13.455000000000002,8,Other immune,185
137.67000000000002,13.065000000000001,9,CD4-T,145
146.445,15.795000000000002,10,CD3-T,449
164.19,14.82,11,Other immune,223
178.425,13.65,12,Other immune,148
199.68,12.09,13,B,55
228.93,13.260000000000002,14,Mesenchymal-like,159
237.12,14.82,15,Other immune,377
245.115,13.065000000000001,16,CD8-T,150
251.35500000000002,12.09,17,CD8-T,57
261.3,15.600000000000001,18,B,664
294.06000000000006,15.600000000000001,19,Macrophages,471
302.83500000000004,14.04,20,Unidentified,281
333.45000000000005,16.38,21,B,452
344.56500000000005,13.455000000000002,22,Macrophages,191
350.805,12.675,23,CD3-T,55
366.40500000000003,12.675,24,CD3-T,105
374.985,13.065000000000001,25,Mono / Neu,230
404.03999999999996,15.795000000000002,26,Other immune,530
416.71500000000003,15.21,27,Other immune,583
442.45500000000004,12.675,28,CD8-T,119
452.985,14.235,29,B,410
472.29,13.844999999999999,30,Keratin-positive tumor,417
515.775,15.405000000000001,31,CD8-T,638
534.885,15.405000000000001,32,Other immune,399
541.71,13.260000000000002,33,Macrophages,194
552.0450000000001,14.43,34,Macrophages,446
564.135,12.48,35,Macrophages,103
572.52,12.870000000000001,36,Other immune,140
585.195,13.844999999999999,37,Macrophages,297
594.9449999999999,14.235,38,Other immune,219
601.185,13.65,39,Other immune,170
610.155,15.405000000000001,40,B,547
617.565,14.04,41,Other immune,243
631.8,13.260000000000002,42,B,163
638.8199999999999,12.09,43,B,54
648.1800000000001,15.600000000000001,44,B,545
661.44,15.600000000000001,45,Other immune,504
672.36,13.065000000000001,46,Other immune,198
101.01,14.625,47,Other immune,428
208.845,15.600000000000001,48,CD3-T,764
320.385,14.82,49,Other immune,392
357.63,15.21,50,Other immune,233
526.6949999999999,13.844999999999999,51,B,172
693.4200000000001,16.185000000000002,52,Mesenchymal-like,907
130.455,17.355,53,Other immune,680
154.05,14.82,54,Other immune,254
172.38,15.015,55,CD8-T,299
188.565,18.135,56,Mono / Neu,1032
736.71,14.04,57,Other immune,211
46.410000000000004,18.135,58,Other immune,619
224.445,17.355,59,Other immune,843
433.485,13.844999999999999,60,CD4-T,285
745.875,15.015,61,Other immune,432
90.09,14.625,62,Other immune,374
392.925,14.235,65,Other immune,305
502.125,15.990000000000002,66,Keratin-positive tumor,689
