x,y,label,cell_type,cell_size_pixel
60.645,13.065000000000001,2,Keratin-positive tumor,142
68.83500000000001,13.455000000000002,3,Keratin-positive tumor,197
107.44500000000001,13.260000000000002,4,Keratin-positive tumor,245
116.025,13.844999999999999,5,Keratin-positive tumor,150
126.555,15.795000000000002,6,Keratin-positive tumor,686
152.29500000000002,14.04,7,Keratin-positive tumor,381
189.93,17.16,8,Keratin-positive tumor,780
215.865,13.844999999999999,9,Keratin-positive tumor,132
222.10500000000002,16.77,10,Macrophages,616
281.19,15.795000000000002,11,Keratin-positive tumor,505
291.135,16.575,12,Keratin-positive tumor,444
298.35,14.625,13,Keratin-positive tumor,268
307.515,15.405000000000001,14,Keratin-positive tumor,494
314.34000000000003,13.260000000000002,15,Keratin-positive tumor,67
319.41,13.844999999999999,16,Keratin-positive tumor,274
362.505,16.77,17,Keratin-positive tumor,1058
380.44500000000005,13.844999999999999,18,Keratin-positive tumor,302
395.46000000000004,17.745,19,Keratin-positive tumor,982
402.87,12.48,20,Keratin-positive tumor,51
419.445,13.455000000000002,21,B,219
428.415,12.870000000000001,22,B,160
435.045,14.43,23,B,228
441.285,13.455000000000002,24,B,143
453.18000000000006,13.260000000000002,25,Macrophages,197
489.06000000000006,12.675,26,B,75
499.78499999999997,13.260000000000002,27,B,110
505.245,12.48,28,B,64
525.72,13.455000000000002,29,B,180
547.1700000000001,14.625,30,B,397
556.9200000000001,13.455000000000002,31,B,177
563.94,14.43,32,B,261
598.845,17.16,33,B,527
613.0799999999999,12.870000000000001,34,B,61
476.97,13.260000000000002,35,B,120
580.71,13.260000000000002,36,B,123
620.8800000000001,13.844999999999999,37,Other immune,229
484.38,15.405000000000001,38,B,355
494.32500000000005,15.405000000000001,39,B,272
507.78,15.21,40,B,425
517.9200000000001,13.844999999999999,41,B,262
466.83000000000004,15.405000000000001,42,B,360
572.715,15.990000000000002,43,B,473
347.1,15.600000000000001,44,Keratin-positive tumor,464
592.9950000000001,14.82,45,CD4-T,214
206.115,16.38,46,Keratin-positive tumor,560
406.57500000000005,15.015,47,Keratin-positive tumor,291
633.5550000000001,15.990000000000002,48,Unidentified,610
199.29000000000002,15.990000000000002,49,Keratin-positive tumor,351
416.32500000000005,15.990000000000002,50,Keratin-positive tumor,144
271.83000000000004,16.965,52,Keratin-positive tumor,509
623.61,15.795000000000002,54,Other immune,158
456.3,17.355,55,B,555
609.1800000000001,14.625,58,B,289
474.82500000000005,16.38,61,B,296
584.61,16.77,62,B,612
106.665,19.695,63,Keratin-positive tumor,840
491.4,17.745,64,B,109
605.475,17.16,65,CD4-T,106
428.22,18.72,66,B,300
463.90500000000003,18.915,67,CD4-T,96
543.66,19.5,68,B,281
568.0350000000001,20.085,69,B,162
321.555,19.695,70,Keratin-positive tumor,511
439.53000000000003,18.915,71,B,225
512.46,19.695,72,B,132
518.115,19.695,73,B,241
536.0550000000001,18.72,74,B,232
213.91500000000002,17.745,75,Keratin-positive tumor,260
286.065,20.67,76,Keratin-positive tumor,299
419.055,22.619999999999997,77,B,447
121.68,23.4,78,Keratin-positive tumor,1066
